,urls
0,https://www.cnn.com/2022/02/20/politics/blinken-ukraine-russia-cnntv/index.html
1,https://www.cnn.com/europe/live-news/ukraine-russia-news-02-20-22-intl/index.html
2,https://www.cnn.com/2022/02/20/media/reliable-sources-clarissa-ward-ukraine-russia-conflict/index.html
3,https://www.cnn.com/2022/02/20/politics/us-intel/index.html
4,https://www.cnn.com/2022/02/20/europe/new-york-ukraine-frontline-town-intl/index.html
5,https://www.cnn.com/europe/live-news/ukraine-russia-news-02-21-22/index.html
6,https://www.cnn.com/2022/02/21/politics/us-letter-russia-ukraine-kill-list/index.html
7,https://www.cnn.com/europe/live-news/ukraine-russia-news-02-22-22/index.html
8,https://www.cnn.com/2022/02/22/politics/russia-ukraine-invasion-putin-what-matters/index.html
9,https://www.cnn.com/2022/02/21/europe/russia-ukraine-tensions-monday-intl/index.html
10,https://www.cnn.com/2022/02/22/politics/biden-invasion-sanctions/index.html
11,https://www.cnn.com/2022/02/23/politics/donald-trump-vladimir-putin-joe-biden/index.html
12,https://www.cnn.com/2022/02/22/europe/ukraine-russia-donbas-evacuees-intl/index.html
13,https://www.cnn.com/2022/02/21/investing/global-stocks-ukraine-russia/index.html
14,https://www.cnn.com/2022/02/22/investing/bitcoin-price-fall-ukraine-russia-tensions/index.html
15,https://www.cnn.com/interactive/2022/02/europe/russia-ukraine-crisis-poll-intl/index.html
16,https://www.cnn.com/2022/02/22/europe/russia-ukraine-tensions-tuesday-intl/index.html
17,https://www.cnn.com/europe/live-news/ukraine-russia-news-02-23-22/h_80d43c097bf99d49cf341076ff4eeee3
18,https://www.cnn.com/2022/02/23/europe/russia-ukraine-tensions-wednesday-intl/index.html
19,https://www.cnn.com/europe/live-news/ukraine-russia-news-02-23-22/h_6d205f365f501bc935268528b826a824
20,https://www.cnn.com/2022/02/23/europe/russian-troops-donbas-latvian-pm/index.html
21,https://www.cnn.com/2022/02/23/europe/kenya-ukraine-russia-colonialism-intl/index.html
22,https://www.cnn.com/2022/02/23/football/uefa-fifa-monitoring-russia-ukraine-crisis-football-spt-intl/index.html
23,https://www.cnn.com/2022/02/21/business/airlines-cancel-ukraine-flights/index.html
24,https://www.cnn.com/2022/02/24/politics/putin-ukraine-russia-attack-us-global-impact/index.html
25,https://www.cnn.com/2022/02/24/europe/ukraine-view-russia-invasion-cmd-intl/index.html
26,https://www.cnn.com/2022/02/24/europe/ukraine-russia-attack-timeline-intl/index.html
27,https://www.cnn.com/2022/02/23/europe/russia-ukraine-putin-military-operation-donbas-intl-hnk/index.html
28,https://www.cnn.com/2022/02/24/media/russia-ukraine-social-media-reliable-sources/index.html
29,https://www.cnn.com/2022/02/24/europe/global-response-to-russia-ukraine-intl/index.html
30,https://www.cnn.com/2022/02/24/europe/ukraine-visual-explainer-maps/index.html
31,https://www.cnn.com/2022/02/24/politics/us-troops-ukraine-russia-nato/index.html
32,https://www.cnn.com/2022/02/24/media/americans-ukraine-russia-news-coverage/index.html
33,https://www.cnn.com/2022/02/24/media/media-coverage-ukraine/index.html
34,https://www.cnn.com/2022/02/24/opinions/view-from-kyiv-russian-ukraine-war-markovic/index.html
