,urls
0,https://www.foxnews.com/live-news/russia-ukraine-zelensky-tensions
1,https://www.foxnews.com/politics/russia-ukraine-invasion-dems-midterms-downside
2,https://www.foxnews.com/politics/ted-cruz-europe-war-weakness-joe-biden-russia-ukraine-nord-stream-2
3,https://www.foxnews.com/world/russia-extends-troop-drills-near-ukraine-violence-spikes
4,https://www.foxnews.com/transcript/fox-news-sunday-on-february-20-2022
5,https://www.foxnews.com/world/russia-china-new-coal-deal-state-media
6,https://www.foxnews.com/live-news/russia-ukraine-putin-has-list-of-ukrainians-to-be-killed-or-sent-to-camps-u-s-warns
7,https://www.foxnews.com/us/us-warns-credible-information-russia-kill-list-ukrainians
8,https://www.foxnews.com/opinion/russia-ukraine-crisis-lloyd-austin-bidens-defense-secretary-rebecca-grant
9,https://www.foxnews.com/world/russia-ukraine-gorbachev-interpreter-cold-war
10,https://www.foxnews.com/world/russia-sanctioned-after-putin-recognizes-separatists-independence-says-ukraine-is-historically-part-of-russia
11,https://www.foxnews.com/transcript/tucker-biden-has-been-played-by-putin
12,https://www.foxnews.com/live-news/russia-ukraine-invasion-imminent
13,https://www.foxnews.com/opinion/russia-ukraine-new-cold-war
14,https://www.foxnews.com/politics/mcconnell-russia-war-bloody-sanctions
15,https://www.foxnews.com/media/hannity-russia-conflict-potential-spiral-way-out-control-very-quickly
16,https://www.foxnews.com/opinion/russia-ukraine-biden-world-leadership-rebecca-grant
17,https://www.foxnews.com/entertainment/cardi-b-russia-ukraine-conflict
18,https://www.foxnews.com/transcript/special-report-all-star-panel-russia-ukraine-escalating-conflict
19,https://www.foxnews.com/politics/nato-russia-full-scale-attack-kyiv-war-europe
20,https://www.foxnews.com/media/russia-ukraine-cnns-joe-lockhart-says-biden-restored-american-leadership-us-in-adult-chair-in-the-world
21,https://www.foxnews.com/media/keith-kellogg-russia-ukraine-putin-cold-war-ii
22,https://www.foxnews.com/world/russian-troops-ukraine-european-officials
23,https://www.foxnews.com/lifestyle/russia-ukraine-tensions-families-kids-keep-calm-carry-on
24,https://www.foxnews.com/media/mike-pompeo-biden-putin-ukraine-russia
25,https://www.foxnews.com/media/white-house-official-clashes-cnn-invasion-messaging
26,https://www.foxnews.com/media/mcenany-vladimir-putin-democrats-biden-ukraine
